# P(k)  H0=0.7 Om0=0.3 Ob0=0.05 Ol0=0.7 Sigma8=0.8154 n_s=0.96
# k  P(k)  P_noOsc(k) 
    0.183632       3369.75       3337.14
    0.184131       3350.05       3319.63
     0.18463       3330.31       3302.25
    0.185129       3310.53       3284.99
    0.185628       3290.73       3267.87
    0.186127       3270.94       3250.86
    0.186626       3251.17       3233.98
    0.187125       3231.45       3217.23
    0.187624       3211.78        3200.6
    0.188123       3192.19       3184.08
    0.188622       3172.69       3167.69
    0.189121       3153.31       3151.41
     0.18962       3134.06       3135.25
    0.190119       3114.96       3119.21
    0.190618       3096.02       3103.28
    0.191117       3077.26       3087.47
    0.191616        3058.7       3071.77
    0.192115       3040.33       3056.18
    0.192614       3022.19        3040.7
    0.193113       3004.28       3025.34
    0.193612       2986.61       3010.08
    0.194111       2969.19       2994.93
     0.19461       2952.04       2979.88
    0.195109       2935.14       2964.95
    0.195608       2918.52       2950.11
    0.196107       2902.18       2935.38
    0.196606       2886.12       2920.76
    0.197105       2870.35       2906.24
    0.197604       2854.87       2891.81
    0.198103       2839.67       2877.49
    0.198602       2824.76       2863.27
    0.199101       2810.13       2849.14
      0.1996       2795.79       2835.12
    0.200099       2781.73       2821.19
    0.200598       2767.94       2807.36
    0.201097       2754.43       2793.62
    0.201596       2741.18       2779.97
    0.202095       2728.18       2766.42
    0.202594       2715.44       2752.96
    0.203093       2702.94        2739.6
    0.203592       2690.67       2726.32
    0.204091       2678.63       2713.14
     0.20459        2666.8       2700.04
    0.205089       2655.17       2687.04
    0.205588       2643.74       2674.12
    0.206087       2632.49       2661.29
    0.206586        2621.4       2648.54
    0.207085       2610.48       2635.88
    0.207584        2599.7       2623.31
    0.208083       2589.06       2610.82
    0.208582       2578.54       2598.41
    0.209081       2568.13       2586.08
     0.20958       2557.83       2573.84
    0.210079       2547.61       2561.68
    0.210578       2537.47        2549.6
    0.211077        2527.4        2537.6
    0.211576       2517.38       2525.68
    0.212075       2507.41       2513.83
    0.212574       2497.48       2502.07
    0.213073       2487.58       2490.38
    0.213572       2477.69       2478.77
    0.214071       2467.82       2467.23
     0.21457       2457.94       2455.77
    0.215069       2448.07       2444.39
    0.215568       2438.18       2433.08
    0.216067       2428.28       2421.84
    0.216566       2418.35       2410.67
    0.217065        2408.4       2399.58
    0.217564       2398.42       2388.56
    0.218063        2388.4       2377.61
    0.218562       2378.35       2366.73
    0.219061       2368.27       2355.92
     0.21956       2358.14       2345.18
    0.220059       2347.97       2334.51
    0.220558       2337.77        2323.9
    0.221057       2327.52       2313.37
    0.221556       2317.24        2302.9
    0.222055       2306.92        2292.5
    0.222554       2296.57       2282.16
    0.223053       2286.18       2271.89
    0.223552       2275.77       2261.68
    0.224051       2265.33       2251.54
     0.22455       2254.88       2241.46
    0.225049        2244.4       2231.45
    0.225548       2233.92       2221.49
    0.226047       2223.43        2211.6
    0.226546       2212.93       2201.77
    0.227045       2202.44       2192.01
    0.227544       2191.96        2182.3
    0.228043        2181.5       2172.66
    0.228542       2171.06       2163.07
    0.229041       2160.64       2153.54
     0.22954       2150.25       2144.08
    0.230039       2139.91       2134.67
    0.230538       2129.61       2125.32
    0.231037       2119.35       2116.02
    0.231536       2109.16       2106.78
    0.232035       2099.02        2097.6
    0.232534       2088.95       2088.48
    0.233033       2078.95       2079.41
    0.233532       2069.03        2070.4
    0.234031       2059.19       2061.44
     0.23453       2049.43       2052.54
    0.235029       2039.76       2043.69
    0.235528       2030.18       2034.89
    0.236027        2020.7       2026.15
    0.236526       2011.31       2017.46
    0.237025       2002.03       2008.82
    0.237524       1992.85       2000.23
    0.238023       1983.77        1991.7
    0.238522        1974.8       1983.21
    0.239021       1965.94       1974.78
     0.23952       1957.19        1966.4
    0.240019       1948.55       1958.06
    0.240518       1940.01       1949.78
    0.241017       1931.59       1941.55
    0.241516       1923.27       1933.36
    0.242015       1915.07       1925.23
    0.242514       1906.96       1917.14
    0.243013       1898.97        1909.1
    0.243512       1891.07        1901.1
    0.244011       1883.28       1893.16
     0.24451       1875.59       1885.26
    0.245009       1867.99        1877.4
    0.245508       1860.49       1869.59
    0.246007       1853.07       1861.83
    0.246506       1845.75       1854.12
    0.247005        1838.5       1846.44
    0.247504       1831.34       1838.82
    0.248003       1824.26       1831.23
    0.248502       1817.25       1823.69
    0.249001       1810.31        1816.2
      0.2495       1803.44       1808.74
    0.249999       1796.62       1801.33
    0.250498       1789.87       1793.97
    0.250997       1783.17       1786.64
    0.251496       1776.52       1779.36
    0.251995       1769.92       1772.12
    0.252494       1763.37       1764.92
    0.252993       1756.85       1757.76
    0.253492       1750.37       1750.64
    0.253991       1743.92       1743.57
     0.25449        1737.5       1736.53
    0.254989        1731.1       1729.53
    0.255488       1724.73       1722.57
    0.255987       1718.39       1715.65
    0.256486       1712.05       1708.77
    0.256985       1705.74       1701.93
    0.257484       1699.43       1695.13
    0.257983       1693.14       1688.37
    0.258482       1686.86       1681.64
    0.258981       1680.58       1674.95
     0.25948       1674.31        1668.3
    0.259979       1668.05       1661.69
    0.260478       1661.79       1655.11
    0.260977       1655.53       1648.57
    0.261476       1649.27       1642.06
    0.261975       1643.01       1635.59
    0.262474       1636.76       1629.16
    0.262973       1630.51       1622.76
    0.263472       1624.25        1616.4
    0.263971          1618       1610.08
     0.26447       1611.75       1603.78
    0.264969       1605.51       1597.53
    0.265468       1599.27        1591.3
    0.265967       1593.03       1585.11
    0.266466        1586.8       1578.96
    0.266965       1580.57       1572.83
    0.267464       1574.35       1566.75
    0.267963       1568.15       1560.69
    0.268462       1561.95       1554.67
    0.268961       1555.76       1548.68
     0.26946       1549.59       1542.72
    0.269959       1543.44       1536.79
    0.270458        1537.3        1530.9
    0.270957       1531.18       1525.04
    0.271456       1525.09       1519.21
    0.271955       1519.01       1513.41
    0.272454       1512.96       1507.64
    0.272953       1506.94        1501.9
    0.273452       1500.95        1496.2
    0.273951       1494.98       1490.52
     0.27445       1489.05       1484.88
    0.274949       1483.15       1479.26
    0.275448       1477.28       1473.67
    0.275947       1471.45       1468.12
    0.276446       1465.66       1462.59
    0.276945        1459.9       1457.09
    0.277444       1454.19       1451.62
    0.277943       1448.52       1446.18
    0.278442       1442.88       1440.77
    0.278941       1437.29       1435.39
     0.27944       1431.75       1430.03
    0.279939       1426.25       1424.71
    0.280438       1420.79       1419.41
    0.280937       1415.38       1414.14
    0.281436       1410.01       1408.89
    0.281935       1404.69       1403.68
    0.282434       1399.41       1398.49
    0.282933       1394.18       1393.33
    0.283432          1389       1388.19
    0.283931       1383.86       1383.08
     0.28443       1378.77          1378
    0.284929       1373.72       1372.94
    0.285428       1368.71       1367.91
    0.285927       1363.75       1362.91
    0.286426       1358.83       1357.93
    0.286925       1353.96       1352.98
    0.287424       1349.12       1348.05
    0.287923       1344.32       1343.15
    0.288422       1339.57       1338.27
    0.288921       1334.85       1333.42
     0.28942       1330.17       1328.59
    0.289919       1325.52       1323.79
    0.290418       1320.91       1319.01
    0.290917       1316.33       1314.25
    0.291416       1311.78       1309.52
    0.291915       1307.27       1304.81
    0.292414       1302.78       1300.13
    0.292913       1298.33       1295.47
    0.293412        1293.9       1290.83
    0.293911        1289.5       1286.22
     0.29441       1285.12       1281.63
    0.294909       1280.76       1277.07
    0.295408       1276.43       1272.52
    0.295907       1272.12          1268
    0.296406       1267.82        1263.5
    0.296905       1263.55       1259.03
    0.297404        1259.3       1254.57
    0.297903       1255.06       1250.14
    0.298402       1250.84       1245.73
    0.298901       1246.63       1241.34
      0.2994       1242.44       1236.98
    0.299899       1238.26       1232.63
    0.300398       1234.09       1228.31
    0.300897       1229.93       1224.01
    0.301396       1225.79       1219.73
    0.301895       1221.66       1215.47
    0.302394       1217.54       1211.23
    0.302893       1213.43       1207.01
    0.303392       1209.33       1202.81
    0.303891       1205.23       1198.63
     0.30439       1201.15       1194.48
    0.304889       1197.08       1190.34
    0.305388       1193.01       1186.22
    0.305887       1188.96       1182.13
    0.306386       1184.91       1178.05
    0.306885       1180.88       1173.99
    0.307384       1176.85       1169.96
    0.307883       1172.83       1165.94
    0.308382       1168.83       1161.94
    0.308881       1164.83       1157.96
     0.30938       1160.85          1154
    0.309879       1156.87       1150.06
    0.310378       1152.91       1146.14
    0.310877       1148.96       1142.24
    0.311376       1145.02       1138.35
    0.311875       1141.09       1134.49
    0.312374       1137.18       1130.64
    0.312873       1133.28       1126.81
    0.313372       1129.39          1123
    0.313871       1125.52        1119.2
     0.31437       1121.66       1115.43
    0.314869       1117.82       1111.67
    0.315368          1114       1107.93
    0.315867       1110.19       1104.21
    0.316366        1106.4       1100.51
    0.316865       1102.63       1096.82
    0.317364       1098.88       1093.15
    0.317863       1095.14        1089.5
    0.318362       1091.42       1085.86
    0.318861       1087.73       1082.25
     0.31936       1084.05       1078.65
    0.319859       1080.39       1075.06
    0.320358       1076.76       1071.49
    0.320857       1073.14       1067.94
    0.321356       1069.55       1064.41
    0.321855       1065.97       1060.89
    0.322354       1062.42       1057.39
    0.322853       1058.89        1053.9
    0.323352       1055.38       1050.43
    0.323851       1051.89       1046.98
     0.32435       1048.42       1043.54
    0.324849       1044.98       1040.12
    0.325348       1041.55       1036.72
    0.325847       1038.15       1033.33
    0.326346       1034.77       1029.95
    0.326845       1031.41       1026.59
    0.327344       1028.07       1023.25
    0.327843       1024.76       1019.92
    0.328342       1021.46       1016.61
    0.328841       1018.18       1013.31
     0.32934       1014.93       1010.03
    0.329839       1011.69       1006.76
    0.330338       1008.47        1003.5
    0.330837       1005.28       1000.27
    0.331336        1002.1       997.042
    0.331835       998.936       993.833
    0.332334       995.793       990.638
    0.332833       992.668       987.458
    0.333332        989.56       984.292
    0.333831       986.469        981.14
     0.33433       983.394       978.002
    0.334829       980.335       974.879
    0.335328       977.292       971.769
    0.335827       974.264       968.673
    0.336326        971.25       965.592
    0.336825       968.251       962.524
    0.337324       965.265       959.469
    0.337823       962.293       956.429
    0.338322       959.333       953.401
    0.338821       956.387       950.388
     0.33932       953.452       947.387
    0.339819        950.53         944.4
    0.340318       947.619       941.426
    0.340817       944.719       938.466
    0.341316        941.83       935.518
    0.341815       938.952       932.583
    0.342314       936.084       929.662
    0.342813       933.226       926.753
    0.343312       930.378       923.857
    0.343811        927.54       920.973
     0.34431       924.711       918.103
    0.344809       921.891       915.244
    0.345308       919.081       912.399
    0.345807       916.279       909.565
    0.346306       913.487       906.744
    0.346805       910.703       903.936
    0.347304       907.928       901.139
    0.347803       905.161       898.355
    0.348302       902.404       895.583
    0.348801       899.654       892.822
      0.3493       896.914       890.074
    0.349799       894.182       887.338
    0.350298       891.459       884.613
    0.350797       888.744         881.9
    0.351296       886.039       879.199
    0.351795       883.342       876.509
    0.352294       880.654       873.831
    0.352793       877.975       871.165
    0.353292       875.305        868.51
    0.353791       872.645       865.866
     0.35429       869.994       863.233
    0.354789       867.352       860.612
    0.355288        864.72       858.002
    0.355787       862.098       855.403
    0.356286       859.486       852.815
    0.356785       856.884       850.238
    0.357284       854.292       847.672
    0.357783       851.711       845.117
    0.358282       849.139       842.573
    0.358781       846.579       840.039
     0.35928       844.029       837.516
    0.359779        841.49       835.004
    0.360278       838.962       832.502
    0.360777       836.445       830.011
    0.361276       833.939        827.53
    0.361775       831.444        825.06
    0.362274       828.961         822.6
    0.362773       826.489        820.15
    0.363272       824.028       817.711
    0.363771       821.579       815.282
     0.36427       819.142       812.863
    0.364769       816.716       810.453
    0.365268       814.302       808.054
    0.365767       811.899       805.665
    0.366266       809.508       803.286
    0.366765       807.129       800.917
    0.367264       804.761       798.557
    0.367763       802.405       796.208
    0.368262        800.06       793.868
    0.368761       797.727       791.537
     0.36926       795.405       789.217
    0.369759       793.095       786.905
    0.370258       790.796       784.604
    0.370757       788.508       782.311
    0.371256       786.231       780.028
    0.371755       783.965       777.755
    0.372254       781.709       775.491
    0.372753       779.465       773.236
    0.373252       777.231        770.99
    0.373751       775.007       768.753
     0.37425       772.794       766.526
    0.374749       770.591       764.307
    0.375248       768.398       762.098
    0.375747       766.215       759.897
    0.376246       764.042       757.706
    0.376745       761.878       755.523
    0.377244       759.723       753.349
    0.377743       757.578       751.184
    0.378242       755.442       749.027
    0.378741       753.315        746.88
     0.37924       751.196       744.741
    0.379739       749.087        742.61
    0.380238       746.985       740.488
    0.380737       744.892       738.375
    0.381236       742.808        736.27
    0.381735       740.731       734.173
    0.382234       738.662       732.085
    0.382733       736.601       730.005
    0.383232       734.548       727.934
    0.383731       732.502        725.87
     0.38423       730.464       723.815
    0.384729       728.433       721.768
    0.385228       726.409        719.73
    0.385727       724.392       717.699
    0.386226       722.382       715.676
    0.386725        720.38       713.662
    0.387224       718.384       711.655
    0.387723       716.395       709.656
    0.388222       714.413       707.665
    0.388721       712.437       705.682
     0.38922       710.468       703.707
    0.389719       708.506       701.739
    0.390218        706.55       699.779
    0.390717       704.601       697.827
    0.391216       702.658       695.883
    0.391715       700.722       693.946
    0.392214       698.792       692.016
    0.392713       696.869       690.095
    0.393212       694.952        688.18
    0.393711       693.042       686.273
     0.39421       691.138       684.374
    0.394709       689.241       682.482
    0.395208        687.35       680.597
    0.395707       685.466        678.72
    0.396206       683.588       676.849
    0.396705       681.717       674.986
    0.397204       679.853       673.131
    0.397703       677.995       671.282
    0.398202       676.144       669.441
    0.398701       674.299       667.606
      0.3992       672.461       665.779
    0.399699        670.63       663.958
    0.400198       668.806       662.145
    0.400697       666.988       660.339
    0.401196       665.177       658.539
    0.401695       663.373       656.747
    0.402194       661.576       654.961
    0.402693       659.786       653.182
    0.403192       658.003        651.41
    0.403691       656.226       649.644
     0.40419       654.457       647.885
    0.404689       652.695       646.133
    0.405188       650.939       644.388
    0.405687       649.191       642.649
    0.406186       647.449       640.917
    0.406685       645.715       639.191
    0.407184       643.987       637.472
    0.407683       642.267       635.759
    0.408182       640.553       634.053
    0.408681       638.847       632.354
     0.40918       637.147        630.66
    0.409679       635.455       628.973
    0.410178       633.769       627.292
    0.410677        632.09       625.618
    0.411176       630.418        623.95
    0.411675       628.753       622.288
    0.412174       627.095       620.632
    0.412673       625.443       618.983
    0.413172       623.798       617.339
    0.413671        622.16       615.702
     0.41417       620.529       614.071
    0.414669       618.904       612.446
    0.415168       617.285       610.827
    0.415667       615.673       609.214
    0.416166       614.067       607.607
    0.416665       612.468       606.005
    0.417164       610.875        604.41
    0.417663       609.288       602.821
    0.418162       607.708       601.237
    0.418661       606.133        599.66
     0.41916       604.565       598.088
    0.419659       603.003       596.522
    0.420158       601.446       594.962
    0.420657       599.895       593.407
    0.421156       598.351       591.858
    0.421655       596.811       590.315
    0.422154       595.278       588.777
    0.422653        593.75       587.245
    0.423152       592.228       585.719
    0.423651       590.711       584.198
     0.42415       589.199       582.683
    0.424649       587.693       581.173
    0.425148       586.193       579.669
    0.425647       584.697        578.17
    0.426146       583.207       576.677
    0.426645       581.721       575.189
    0.427144       580.241       573.706
    0.427643       578.766       572.229
    0.428142       577.296       570.757
    0.428641       575.831        569.29
     0.42914       574.371       567.829
    0.429639       572.916       566.373
    0.430138       571.465       564.922
    0.430637        570.02       563.477
    0.431136       568.579       562.036
    0.431635       567.143       560.601
    0.432134       565.711       559.171
    0.432633       564.285       557.746
    0.433132       562.863       556.326
    0.433631       561.445       554.911
     0.43413       560.033       553.501
